CD_CENTRO,MesAno,EC_ANL_relativo_pred
CENTRO102,2025-07-01,0.10674256
CENTRO102,2025-08-01,0.087578245
CENTRO102,2025-09-01,0.09813709
CENTRO102,2025-10-01,0.084844165
CENTRO102,2025-11-01,0.07576633
CENTRO102,2025-12-01,0.06893258
CENTRO103,2025-07-01,0.11876658
CENTRO103,2025-08-01,0.1115038
CENTRO103,2025-09-01,0.095344715
CENTRO103,2025-10-01,0.10907565
CENTRO103,2025-11-01,0.11913087
CENTRO103,2025-12-01,0.1319902
CENTRO109,2025-07-01,0.1507458
CENTRO109,2025-08-01,0.1403012
CENTRO109,2025-09-01,0.12758742
CENTRO109,2025-10-01,0.10581139
CENTRO109,2025-11-01,0.12114509
CENTRO109,2025-12-01,0.09079088
CENTRO110,2025-07-01,0.06845592
CENTRO110,2025-08-01,0.09151012
CENTRO110,2025-09-01,0.10937605
CENTRO110,2025-10-01,0.12521012
CENTRO110,2025-11-01,0.12153992
CENTRO110,2025-12-01,0.11876973
CENTRO112,2025-07-01,0.053765256
CENTRO112,2025-08-01,0.05650861
CENTRO112,2025-09-01,0.06549124
CENTRO112,2025-10-01,0.06089779
CENTRO112,2025-11-01,0.05010733
CENTRO112,2025-12-01,0.03891584
CENTRO113,2025-07-01,0.034299053
CENTRO113,2025-08-01,0.0354352
CENTRO113,2025-09-01,0.061753154
CENTRO113,2025-10-01,0.04594535
CENTRO113,2025-11-01,0.0441752
CENTRO113,2025-12-01,0.037986066
CENTRO114,2025-07-01,0.12337828
CENTRO114,2025-08-01,0.14011063
CENTRO114,2025-09-01,0.15380175
CENTRO114,2025-10-01,0.17879239
CENTRO114,2025-11-01,0.17886178
CENTRO114,2025-12-01,0.1785804
CENTRO116,2025-07-01,0.12773304
CENTRO116,2025-08-01,0.11030162
CENTRO116,2025-09-01,0.10205598
CENTRO116,2025-10-01,0.09265886
CENTRO116,2025-11-01,0.1036822
CENTRO116,2025-12-01,0.09685583
CENTRO118,2025-07-01,0.16637297
CENTRO118,2025-08-01,0.1793686
CENTRO118,2025-09-01,0.19368118
CENTRO118,2025-10-01,0.1669173
CENTRO118,2025-11-01,0.15960686
CENTRO118,2025-12-01,0.1721405
CENTRO119,2025-07-01,0.05799868
CENTRO119,2025-08-01,0.058973964
CENTRO119,2025-09-01,0.06156966
CENTRO119,2025-10-01,0.06943632
CENTRO119,2025-11-01,0.08860294
CENTRO119,2025-12-01,0.07549679
CENTRO12,2025-07-01,0.08603042
CENTRO12,2025-08-01,0.07648304
CENTRO12,2025-09-01,0.081569836
CENTRO12,2025-10-01,0.09675289
CENTRO12,2025-11-01,0.09723385
CENTRO12,2025-12-01,0.08841324
CENTRO120,2025-07-01,0.103447646
CENTRO120,2025-08-01,0.12546141
CENTRO120,2025-09-01,0.13171658
CENTRO120,2025-10-01,0.11974167
CENTRO120,2025-11-01,0.11833028
CENTRO120,2025-12-01,0.12134903
CENTRO122,2025-07-01,0.060788907
CENTRO122,2025-08-01,0.04554377
CENTRO122,2025-09-01,0.06264325
CENTRO122,2025-10-01,0.044471834
CENTRO122,2025-11-01,0.053381436
CENTRO122,2025-12-01,0.0628708
CENTRO123,2025-07-01,0.12711832
CENTRO123,2025-08-01,0.12900157
CENTRO123,2025-09-01,0.107232384
CENTRO123,2025-10-01,0.10788742
CENTRO123,2025-11-01,0.12080705
CENTRO123,2025-12-01,0.11192786
CENTRO124,2025-07-01,0.16061588
CENTRO124,2025-08-01,0.15271573
CENTRO124,2025-09-01,0.13067271
CENTRO124,2025-10-01,0.1511758
CENTRO124,2025-11-01,0.14276743
CENTRO124,2025-12-01,0.12757927
CENTRO125,2025-07-01,0.11073901
CENTRO125,2025-08-01,0.100975
CENTRO125,2025-09-01,0.11857872
CENTRO125,2025-10-01,0.1337476
CENTRO125,2025-11-01,0.118744686
CENTRO125,2025-12-01,0.12491552
CENTRO127,2025-07-01,0.11394093
CENTRO127,2025-08-01,0.14427145
CENTRO127,2025-09-01,0.09070862
CENTRO127,2025-10-01,0.123060204
CENTRO127,2025-11-01,0.20405652
CENTRO127,2025-12-01,0.171956
CENTRO128,2025-07-01,0.1411991
CENTRO128,2025-08-01,0.124699585
CENTRO128,2025-09-01,0.11082843
CENTRO128,2025-10-01,0.10389215
CENTRO128,2025-11-01,0.10638703
CENTRO128,2025-12-01,0.119633414
CENTRO13,2025-07-01,0.10750682
CENTRO13,2025-08-01,0.11910824
CENTRO13,2025-09-01,0.12451285
CENTRO13,2025-10-01,0.109276325
CENTRO13,2025-11-01,0.09565802
CENTRO13,2025-12-01,0.08929051
CENTRO130,2025-07-01,0.13134684
